started_at,ticker,trade_date,asset_type,provider,deep_model,quick_model,status,error,rating,duration_s,llm_calls,tool_calls,tokens_in,tokens_out,tokens_total,cost_usd,per_model,category,pass
2026-09-11T11:00:29.735416+00:00,300750.SZ,2026-03-04,stock,glm-cn,glm-5.3-flash,glm-5.3-flash,error,NoMarketDataError: No market data for '300750.SZ': Yahoo Finance returned no rows,,123.69,3,11,26331,3872,30203,0.012546,"{""glm-5.3-flash"": {""calls"": 3, ""in"": 26331, ""out"": 3872}}",l1_extreme_win,analysis
2026-09-11T11:02:34.781853+00:00,300750.SZ,2026-03-18,stock,glm-cn,glm-5.3-flash,glm-5.3-flash,error,OpenAIConnectionError: Connection error.,,153.86,4,10,38069,3543,41612,0.015672,"{""glm-5.3-flash"": {""calls"": 3, ""in"": 38069, ""out"": 3543}}",l1_extreme_win,settle
2026-09-11T11:18:25.781004+00:00,300750.SZ,2026-03-04,stock,glm-cn,glm-5.3-flash,glm-5.3-flash,error,"OpenAIInvalidRequestError: Error code: 400 - {'contentFilter': [{'level': 1, 'role': 'assistant'}], 'error': {'code': '1301', 'message': '系统检测到输入或生成内容可能包含不安全或敏感内容，请您避免输入易产生敏感内容的提示语，感谢您的配合。'}}",,399.45,10,30,50358,11846,62204,0.029323,"{""glm-5.3-flash"": {""calls"": 9, ""in"": 50358, ""out"": 11846}}",l1_extreme_win,analysis
2026-09-11T11:25:06.295150+00:00,300750.SZ,2026-03-18,stock,glm-cn,glm-5.3-flash,glm-5.3-flash,error,"OpenAIInvalidRequestError: Error code: 400 - {'contentFilter': [{'level': 1, 'role': 'assistant'}], 'error': {'code': '1301', 'message': '系统检测到输入或生成内容可能包含不安全或敏感内容，请您避免输入易产生敏感内容的提示语，感谢您的配合。'}}",,387.75,8,29,32576,14510,47086,0.027185,"{""glm-5.3-flash"": {""calls"": 7, ""in"": 32576, ""out"": 14510}}",l1_extreme_win,settle
2026-09-11T11:57:42.858057+00:00,300750.SZ,2026-03-04,stock,glm-cn,glm-5.3-flash,glm-5.3-flash,ok,,Buy,904.0,12,14,107767,44822,152589,0.086116,"{""glm-5.3-flash"": {""calls"": 12, ""in"": 107767, ""out"": 44822}}",l1_extreme_win,analysis
2026-09-11T12:36:15.021496+00:00,300750.SZ,2026-03-04,stock,glm-cn,glm-5.3-flash,glm-5.3-flash,ok,,,257.73,2,0,15464,11763,27227,0.018755,"{""glm-5.3-flash"": {""calls"": 2, ""in"": 15464, ""out"": 11763}}",manual_settle,settle
2026-09-12T11:26:31.589624+00:00,300750.SZ,2026-04-08,stock,glm-cn,glm-5.3-flash,glm-5.3-flash,error,"TypeError: Invalid comparison between dtype=datetime64[s, Asia/Shanghai] and Timestamp",,70.05,2,10,8875,2880,11755,0.006118,"{""glm-5.3-flash"": {""calls"": 2, ""in"": 8875, ""out"": 2880}}"
2026-09-12T11:42:40.545738+00:00,300750.SZ,2026-04-08,stock,glm-cn,glm-5.3-flash,glm-5.3-flash,ok,,Overweight,2002.69,14,14,107242,112172,219414,0.166779,"{""glm-5.3-flash"": {""calls"": 14, ""in"": 107242, ""out"": 112172}}"
2026-09-12T13:21:18.811675+00:00,300750.SZ,2026-04-08,stock,deepseek,deepseek-flash,deepseek-flash,ok,,,50.75,3,0,20954,7049,28003,,"{""deepseek-flash"": {""calls"": 2, ""in"": 20954, ""out"": 7049}}",manual_settle,settle
2026-09-12T13:22:11.879245+00:00,AAPL,2026-01-15,stock,deepseek,deepseek-flash,deepseek-flash,ok,,,7.19,1,0,296,526,822,,"{""deepseek-flash"": {""calls"": 1, ""in"": 296, ""out"": 526}}",manual_settle,settle
